Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,ReportedRis,TotalKg,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Cyril,Brau,,FR,65.5,,390,competed,,,,,25,,,,65,,,,110,,,,190
M,66,Corentin,Goulmy,,FR,65.4,,338.75,competed,,,,,22.5,,,,61.25,,,,85,,,,170
M,66,Justin,Hebert,,FR,63.1,,406.25,competed,,,,,28.75,,,,77.5,,,,100,,,,200
M,66,Ali,Kesik,,FR,65.9,,358.75,competed,,,,,15,,,,55,,,,96.25,,,,192.5
M,66,Tommy,Morceau,,FR,64.9,,327.5,competed,,,,,15,,,,60,,,,82.5,,,,170
M,66,Etienne,Sahel,,FR,65.5,,391.25,competed,,,,,21.25,,,,67.5,,,,100,,,,202.5
M,73,Andoni,Carrica,,FR,73,,427.5,competed,,,,,30,,,,77.5,,,,115,,,,205
M,73,Thavisay,Chanthaboun,,FR,73,,427.5,competed,,,,,22.5,,,,70,,,,120,,,,215
M,73,Julien,Le Niou,,FR,71.6,,420,competed,,,,,22.5,,,,72.5,,,,120,,,,205
M,73,Ali,Lessig,,FR,71.9,,428.75,competed,,,,,30,,,,83.75,,,,105,,,,210
M,73,François,Li,,FR,73,,438.75,competed,,,,,31.25,,,,80,,,,132.5,,,,195
M,73,Bryan,Melchior,,FR,71.6,,430,competed,,,,,31.25,,,,78.75,,,,107.5,,,,212.5
M,73,Johan,Sanon,,FR,71.2,,438.75,competed,,,,,23.75,,,,80,,,,127.5,,,,207.5
M,80,Fodil,Bouchareb,,FR,79,,475,competed,,,,,30,,,,80,,,,135,,,,230
M,80,Enzo,Chartier,,FR,80,,447.5,competed,,,,,25,,,,75,,,,130,,,,217.5
M,80,Romain,Chistrel,,FR,78.7,,430,competed,,,,,17.5,,,,65,,,,132.5,,,,215
M,80,Abderrahmen,Dellaoui,,FR,78.4,,467.5,competed,,,,,30,,,,82.5,,,,130,,,,225
M,80,Dylan,Gaveriaux,,FR,77.4,,426.25,competed,,,,,22.5,,,,71.25,,,,127.5,,,,205
M,80,Victor,Lafoucrière,,FR,80,,458.75,competed,,,,,12.5,,,,76.25,,,,130,,,,240
M,80,Faris,Taieb,,FR,79.3,,400,competed,,,,,20,,,,65,,,,110,,,,205
M,80,Raul,Teslavici,,FR,77.4,,478.75,competed,,,,,41.25,,,,95,,,,120,,,,222.5
M,87,Fabio,Abguillerm,,FR,85.9,,423.75,competed,,,,,25,,,,76.25,,,,122.5,,,,200
M,87,Tom,Berthier,,FR,86.6,,465,competed,,,,,30,,,,80,,,,145,,,,210
M,87,José,D'Almeida,,FR,86.4,,488.75,competed,,,,,37.5,,,,93.75,,,,140,,,,217.5
M,87,Gaëtan,Escrivan,,FR,86.1,,430,competed,,,,,25,,,,70,,,,125,,,,210
M,87,Thibault,Essabar,,FR,84.3,,440,competed,,,,,5,,,,67.5,,,,132.5,,,,235
M,87,Samy,Khellaf,,FR,86.3,,457.5,competed,,,,,17.5,,,,75,,,,142.5,,,,222.5
M,87,Loïc,Magadur,,FR,85.7,,432.5,competed,,,,,10,,,,72.5,,,,145,,,,205
M,87,Titouan,Thibault,,FR,83.7,,421.25,competed,,,,,13.75,,,,80,,,,120,,,,207.5
M,94,Ludovic,Adigery,,FR,92.2,,535,competed,,,,,37.5,,,,110,,,,145,,,,242.5
M,94,Bakary,Fofana,,FR,90.8,,422.5,competed,,,,,27.5,,,,88.75,,,,128.75,,,,177.5
M,94,Alexis,Gaborit,,FR,88.8,,438.75,competed,,,,,25,,,,88.75,,,,120,,,,205
M,94,Kevin,Gogo,,FR,91.1,,488.75,competed,,,,,28.75,,,,88.75,,,,133.75,,,,237.5
M,94,Aghiles,Hamiti,,DZ,92.9,,435,competed,,,,,21.25,,,,71.25,,,,125,,,,217.5
M,94,Mathieu,Massimiliano,,FR,93.8,,441.25,competed,,,,,28.75,,,,70,,,,107.5,,,,235
M,94,Lucien,Memery,,FR,88.3,,417.5,competed,,,,,15,,,,70,,,,122.5,,,,210
M,94,Tiago,Pereira,,FR,91.1,,465,competed,,,,,40,,,,95,,,,120,,,,210
M,104,Bilal,Annabi,,FR,96.2,,430,competed,,,,,22.5,,,,70,,,,122.5,,,,215
M,104,Mahdi,Bahij,,FR,101,,387.5,competed,,,,,15,,,,70,,,,80,,,,222.5
M,104,Remi,Hennion,,FR,96,,400,competed,,,,,30,,,,67.5,,,,85,,,,217.5
M,104,Pascal,Lufika,,FR,99.8,,441.25,competed,,,,,15,,,,76.25,,,,140,,,,210
M,104,Mike,Tintin,,FR,95.9,,458.75,competed,,,,,5,,,,71.25,,,,140,,,,242.5
M,104,Nader,Vadcor,,FR,103.8,,447.5,competed,,,,,20,,,,85,,,,140,,,,202.5
M,104+,Maxime,Humily,,FR,113.6,,447.5,competed,,,,,7.5,,,,70,,,,110,,,,260
M,104+,David,Vonflie,,FR,112,,378.75,competed,,,,,21.25,,,,67.5,,,,110,,,,180
F,52,Agathe,Casanova,,FR,50.9,,192.75,competed,,,,,0.25,,,,22.5,,,,47.5,,,,122.5
F,52,Céline,Chatelain,,FR,51.4,,182.5,competed,,,,,6.25,,,,40,,,,48.75,,,,87.5
F,52,Emma,Gueguen,,FR,51.9,,166.75,competed,,,,,0.5,,,,25,,,,36.25,,,,105
F,52,Avril,Haye-Elleboode,,FR,50.6,,192.5,competed,,,,,15,,,,32.5,,,,37.5,,,,107.5
F,52,Jessica,Pereira,,FR,51,,163.75,competed,,,,,8.75,,,,30,,,,42.5,,,,82.5
F,52,Dalila,Sahraoui,,FR,51.9,,182.5,competed,,,,,2.5,,,,27.5,,,,42.5,,,,110
F,52,Mathilde,Sallé,,FR,51,,165,competed,,,,,1.25,,,,22.5,,,,41.25,,,,100
F,57,Lylia,Ammour,,FR,57,,232.5,competed,,,,,17.5,,,,45,,,,50,,,,120
F,57,Ludivine,Compain,,FR,54.2,,215.5,competed,,,,,0.5,,,,25,,,,50,,,,140
F,57,Ambre,Desmons,,FR,56.7,,172.5,competed,,,,,12.5,,,,22.5,,,,37.5,,,,100
F,57,Clementine,Grifo,,FR,54.6,,211.25,competed,,,,,13.75,,,,30,,,,45,,,,122.5
F,57,Lorena,Latrelle,,FR,55.7,,231.25,competed,,,,,6.25,,,,41.25,,,,51.25,,,,132.5
F,57,Julie,Mandine,,FR,57,,170,competed,,,,,7.5,,,,17.5,,,,35,,,,110
F,57,Margaux,Sanchez,,FR,54.3,,243.75,competed,,,,,16.25,,,,42.5,,,,57.5,,,,127.5
F,57,Lise,Thiere,,FR,56.4,,206.25,competed,,,,,7.5,,,,33.75,,,,50,,,,115
F,63,Luna,Ferro,,FR,60.3,,200,competed,,,,,10,,,,35,,,,55,,,,100
F,63,Anne-Sophie,Gherardi,,FR,59.1,,178.75,competed,,,,,2.5,,,,23.75,,,,42.5,,,,110
F,63,Alix,Juda,,FR,62.3,,179.25,competed,,,,,0.5,,,,22.5,,,,36.25,,,,120
F,63,Elise,Lamande,,FR,58,,173.75,competed,,,,,5,,,,25,,,,43.75,,,,100
F,63,Clara,Le Corre,,FR,61,,,disqualified,Bombed the muscle-up,,,,,,,,32.5,,,,47.5,,,,100
F,63,Fontane,Salas,,FR,62.4,,176,competed,,,,,1,,,,20,,,,35,,,,120
F,70,Axelle,Ditacroute,,FR,66.2,,225,competed,,,,,17.5,,,,37.5,,,,47.5,,,,122.5
F,70,Anaïs,Déthier,,FR,69.1,,190,competed,,,,,2.5,,,,26.25,,,,41.25,,,,120
F,70,Christelle,Louget,,FR,66,,,disqualified,Bombed the muscle-up,,,,,,,,16.25,,,,51.25,,,,112.5
