Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Alex,Berinskyy,,DE,59.6,,disqualified,,15,20x,22.5x,15,50x,55,60,60,105,112.5x,112.5x,105,,,,
M,66,Anton,Dengler,,DE,65.85,,competed,,17.5,21.25,23.75x,21.25,57.5,62.5,65x,62.5,105x,107.5,115x,107.5,150,160,167.5,167.5
M,66,Van,Doan,,DE,53.4,,competed,,7.5,11.25,12.5x,11.25,45,50,52.5x,50,55,61.25,62.5,62.5,120,130,135,135
M,66,Can,Kücükyareli,,DE,65.1,,competed,,20,25,30x,25,72.5,76.25,80,80,102.5,110x,110,110,160,160,170,170
M,66,Adrian,Löffler,,DE,65.4,,competed,,2.5,5,7.5x,5,42.5,45x,47.5x,42.5,65,72.5,75,75,130,140,145,145
M,66,Pavel,Mut,,DE,61.6,,competed,,25,30,32.5,32.5,65,70,73.75x,70,72.5,77.5,82.5,82.5,115,125x,125,125
M,73,Dominic,Bendt,,DE,71.6,,competed,,0,5,7.5x,5,40,45,47.5,47.5,70,77.5x,77.5,77.5,120,130,140x,130
M,73,Halil,Demir,,DE,70.35,,competed,,15,20,23.75,23.75,70,72.5,73.75x,72.5,90x,90,95x,90,135x,135,140x,135
M,73,Melvin,Grabert,,DE,72.4,,disqualified,,12.5x,12.5x,12.5x,,62.5,65,70,70,75,82.5,90,90,145,152.5,157.5x,152.5
M,73,Jannis,Grassl,,DE,72.05,,competed,,25,30,33.75x,30,67.5,72.5,77.5,77.5,90,100,110x,100,110,120,125,125
M,73,Johannes,Reck,,DE,69.45,,competed,,12.5,17.5,20,20,47.5,57.5,60,60,65,75,80,80,120,130,140x,130
M,73,Abdelrahman,Shams,,DE,68.7,,competed,,10,12.5x,15x,10,60x,60,65x,60,90,100x,100,100,140x,140,155x,140
M,73,Oskar,Wolter,,DE,72.15,,competed,,22.5,27.5,30,30,62.5,67.5,72.5,72.5,85,92.5,100,100,155,162.5,170,170
M,73,Daniel,Zehnle,,DE,73,,competed,,12.5x,13.75,17.5,17.5,60,65,67.5,67.5,77.5,83.75,85,85,165,175,182.5x,175
M,80,Nick,Hempel,,DE,77.8,,competed,,12.5,15,17.5,17.5,60,65,70x,65,100,105,107.5x,105,170,180,182.5,182.5
M,80,Steven,Richter,,DE,79.55,,competed,,2.5,7.5,10,10,45,52.5,55x,52.5,65,75,80,80,155,167.5,172.5,172.5
M,80,Manuel,Schröder,,DE,79.85,,competed,,5,10,12.5,12.5,55,60,65,65,85,92.5,100x,92.5,147.5,155x,155,155
M,80,Marvin,Volkmann,,DE,75.6,,competed,,10,15,17.5,17.5,60,65x,65x,60,90,95x,95x,90,200x,200,207.5,207.5
M,87,Pit,Delgado,,DE,85.95,,competed,,0,2.5,7.5,7.5,57.5,62.5,70,70,90,95,100,100,165,175x,175x,165
M,87,Simon,Grüneberg,,DE,81.85,,competed,,30,35x,35,35,80,85,90x,85,100x,110x,110,110,120,130,140,140
M,87,Oliver,Göbel,,DE,86.35,,competed,,0,10,15x,10,57.5,65,72.5x,65,85,95,100x,95,170,180,190,190
M,87,Michael,Hagemeister,,DE,85.1,,competed,,7.5,10,12.5x,10,50,55,60,60,107.5,115,120x,115,180,187.5,192.5x,187.5
M,87,Mick,Malms,,DE,82.35,,competed,,15,20,22.5,22.5,70,75,80x,75,85,95,100x,95,165,172.5,180x,172.5
M,87,Till Julius,Niermann,,DE,83.55,,competed,,0,2.5,5x,2.5,47.5,52.5,57.5,57.5,77.5,82.5,87.5,87.5,165,175,185,185
M,87,Philipp,Schmitt,,DE,86.6,,competed,,11.25,15x,15x,11.25,50,57.5,60,60,80,90,100x,90,192.5,200,207.5x,200
M,87,Bruno,Stappert,,DE,83.65,,competed,,7.5,12.5,17.5,17.5,55,60,62.5,62.5,75,85,92.5,92.5,185,200,210,210
M,94,Gregory,Arakelian,,DE,88.35,,competed,,5,8.75,12.5,12.5,50,58.75,65,65,85,92.5,102.5,102.5,165,175,185,185
M,94,Colin,Bartsch,,DE,88.3,,competed,,7.5,12.5,15,15,53.75,60,62.5,62.5,80,87.5,92.5,92.5,180,185,195,195
M,94,Seth,Buttgereit,,DE,90.9,,competed,,0x,0,10x,0,50,60,70x,60,80,90,101.25,101.25,125,135x,135x,125
M,94,Robert,Girbulet,,DE,89.3,,competed,,2.5,7.5,15x,7.5,45,52.5,57.5x,52.5,65,75,82.5,82.5,160,175,187.5,187.5
M,94,Lukas,Schwarz,,DE,93.5,,competed,,5,10,15,15,60,62.5x,62.5,62.5,70,80,90x,80,160,165,177.5,177.5
M,94,Robin,Stoltze,,DE,91.5,,competed,,23.75,27.5,30,30,80,85,87.5,87.5,125x,130,135,135,230,240,247.5,247.5
M,94,Dustin,Verch,,DE,90.25,,competed,,5,7.5,11.25,11.25,57.5,62.5,67.5x,62.5,90,100,105x,100,150,160x,165,165
M,94,Hadi,Yahya,,DE,92.5,,competed,,22.5,27.5,31.25,31.25,70,80,90x,80,95x,95,105,105,170x,170,180,180
