Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,94,Kevin,Saint-Just,,BE,,81.18,competed,,10x,12.5x,12.5,12.5,65,70x,70,70,90,100x,100,100,220,232.5,240x,232.5
M,94,Jens,Vandenberghe,,BE,,77.23,competed,,12.5,15x,18.75,18.75,50,52.5,56.25x,52.5,105,115,122.5x,115,200,212.5,215x,212.5
M,101,Samuel,Adjeodah,,BE,,78.14,disqualified,Bombed the muscle-up,20x,20x,20x,,75x,75,80x,75,120x,125x,135,135,200,220x,240x,200
M,101,Juan,Gasón,,ES,,82.47,competed,,5,10,15x,10,55,60,65,65,90,100,102.5,102.5,235,245,255,255
M,101,Jordin,Vliegen,,NL,,91.32,competed,,20,23.75,27.5,27.5,72.5,78.75,82.5x,78.75,120,130,140,140,215,230,240x,230
M,101+,Louis,Peeters,,BE,,76.89,competed,,0,5,7.5,7.5,55,62.5,70x,62.5,100,110,117.5,117.5,200,210,220,220
M,101+,Laurynas,Verkulis,,LT,,79.06,competed,,0,5,10,10,60,70x,70,70,100x,110,120x,110,200,215,230,230
F,52,Lindsay,Depaepe,,BE,,95.43,competed,,2.5,6.25,10x,6.25,32.5x,32.5,35x,32.5,37.5,45x,47.5,47.5,105x,110x,112.5,112.5
F,57,Lylia,Ammour,,FR,,124.7,competed,,20,25,26.25x,25,45x,50,55,55,60,65,70x,65,135,140,142.5x,140
F,57,Julie,Brion,,FR,,121.43,competed,,5,7.5,10x,7.5,27.5,31.25,35,35,60,68.75,71.25,71.25,145,155,162.5,162.5
F,57,Pauline,Kinart,,BE,,52.13,disqualified,Bombed the muscle-up,0x,0x,0x,,10,12.5,15,15,20,23.75,25x,23.75,70,75,82.5,82.5
F,57,Alice,Nederlandt,,BE,,69.23,competed,,7.5x,10,12.5x,10,17.5,21.25,23.75,23.75,35,40,43.75x,40,85,92.5x,92.5x,85
F,57,Iris,Opsomer,,BE,,55.63,disqualified,Bombed the muscle-up,0x,0x,0x,,10,13.75,15,15,17.5,22.5,26.25,26.25,70,80,85x,80
F,57,Manon,Vergucht,,BE,,94.39,competed,,5,7.5,10x,7.5,30,36.25x,36.25x,30,50,55x,55,55,115,122.5,130x,122.5
F,63,Lotte,Berghmans,,BE,,85.56,competed,,0x,0x,0,0,37.5,42.5,46.25x,42.5,40,45,50x,45,105,110x,115,115
F,63,Fagel,Candice,,BE,,81.86,competed,,0,3.75,6.25,6.25,23.75,27.5x,27.5,27.5,35,40,42.5x,40,115,120,125x,120
F,63,Sofie,Geerinck,,BE,,84.72,competed,,0,5,8.75x,5,17.5,25,27.5,27.5,40,45,50,50,100,107.5,117.5,117.5
F,63,Celia,Lazzari,,BE,,63.05,competed,,0x,0x,0,0,7.5x,10,12.5x,10,15,20,25,25,102.5,110,115,115
F,70,Damarys,Breard,,BE,,80.4,competed,,0x,0,1.25x,0,17.5,22.5,26.25,26.25,30x,35,40x,35,120,127.5,132.5,132.5
F,70,Myriam,Chebira,,FR,,114.78,competed,,5,10,15x,10,35,40,43.75,43.75,60,65,70x,65,142.5,152.5,157.5,157.5
F,70,Ilona,Serena Fernandez,,BE,,68.72,disqualified,Bombed the muscle-up,0x,0x,0x,,10,15,17.5x,15,20x,27.5,30,30,110,120,125x,120
F,70+,Lian,Brands,,NL,,92.74,competed,,2.5,6.25,10,10,25,28.75,32.5x,28.75,47.5x,50x,50,50,125,135,140x,135
F,70+,Cresci-Anne,Croes,,AW,,78.67,disqualified,Bombed the muscle-up,0x,0x,0x,,35,40,42.5x,40,40,45,50x,45,95,100x,105,105
F,70+,Clara,Hadaah Avrons,,FR,,90.5,competed,,0,2.5,5x,2.5,17.5,18.75x,23.75,23.75,37.5,43.75,47.5,47.5,132.5,137.5,145,145
