Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
F,52,selly,ortis,,IT,,105.88,competed,,5,7.5,10x,7.5,25,30,32.5x,30,45,50,51.25,51.25,117.5,125,130,130
F,57,Francesca,Calcinelli,,IT,,78.12,competed,,6.25x,6.25,7.5x,6.25,27.5,32.5,35x,32.5,36.25,41.25,43.75,43.75,95,102.5x,102.5x,95
F,57,Benedetta,Carbone,,IT,,81.29,competed,,2.5,6.25,8.75x,6.25,27.5,30,31.25x,30,35,40,43.75x,40,95,102.5,110x,102.5
F,57,Veronica,Lilli,,IT,,93.08,competed,,2.5,5,7.5,7.5,27.5,32.5,35,35,40,45x,45,45,110,120,125,125
F,57,Olga,Maseda de Andrés,,ES,,97.68,competed,,7.5,11.25,12.5x,11.25,30,35,37.5,37.5,55,57.5,60,60,110x,110,115,115
F,57,martina,de iturbe,,IT,,78.73,competed,,5,7.5x,7.5,7.5,27.5,31.25x,31.25x,27.5,35,41.25,43.75x,41.25,90,97.5,100,100
F,63,Marta,Didone,,IT,,95.97,competed,,0x,0,1.25x,0,30,35,38,38,47.5,52.5,56.25,56.25,125,130,133.5,133.5
F,63,Caterina,Stucchi,,IT,,100.54,competed,,10,13.75,16.5,16.5,33.75,37.5,41.25,41.25,50,56.25,61x,56.25,115,120,125,125
F,63,Ilaria,Valentini,,IT,,64.17,competed,,0,1.25,2.5,2.5,17.5,23.75,27.5,27.5,20,25x,25x,20,95,102.5,110x,102.5
F,70+,Elena,Paradiso,,IT,,0,no_show,,,,,,,,,,,,,,,,,
F,70+,Francesca,Piras,,IT,,74.47,disqualified,Bombed the muscle-up,0x,0x,0x,,10,15x,15x,10,20,27.5,32.5,32.5,125,137.5,150x,137.5
